Rk,Player,Tm▲,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed,-9999
446,Walker Kessler,UTA,$2696400,$2831160,$2965920,$4878938,,,$5527560,kesslwa01
447,Ochai Agbaji,UTA,$3918360,$4114200,$4310280,$6383525,,,$8032560,agbajoc01
448,Jarred Vanderbilt,UTA,$4374000,$4698000,,,,,$4674000,vandeja01
449,Nickeil Alexander-Walker,UTA,$5009633,,,,,,$5009633,alexani01
450,Rudy Gay,UTA,$6184500,$6479000,,,,,$6184500,gayru01
451,Talen Horton-Tucker,UTA,$10260000,$11020000,,,,,$10260000,hortota01
452,Kelly Olynyk,UTA,$12804878,$12195122,,,,,$15804878,olynyke01
453,Jordan Clarkson,UTA,$13340000,$14260000,,,,,$13340000,clarkjo01
454,Malik Beasley,UTA,$15558035,$16524106,,,,,$15558035,beaslma01
455,Lauri Markkanen,UTA,$16475454,$17259999,$18044544,,,,$39735453,markkla01
456,Mike Conley,UTA,$22680000,$24360000,,,,,$37000000,conlemi01
457,Isaiah Todd,WAS,$1575000,$1836096,$1988598,,,,$3411096,toddis01
458,Vernon Carey Jr.,WAS,$1782621,$1930681,,,,,$1782621,careyve01
459,Taj Gibson,WAS,$1836090,,,,,,$1836090,gibsota01
460,Anthony Gill,WAS,$1836090,$1997238,,,,,$3833328,gillan01
461,Daniel Gafford,WAS,$1930681,$12402000,$13394160,$14386320,,,$42113161,gaffoda01
462,Corey Kispert,WAS,$3552840,$3722040,$5705887,,,,$7274880,kispeco01
463,Johnny Davis,WAS,$4810320,$5050800,$5291160,$6746229,,,$9861120,davisjo06
464,Deni Avdija,WAS,$4916160,$6263188,,,,,$11179348,avdijde01
465,Rui Hachimura,WAS,$6263188,,,,,,$6263188,hachiru01
466,Delon Wright,WAS,$7804878,$8195122,,,,,$16000000,wrighde01
467,Monte Morris,WAS,$9125000,$9800926,,,,,$18925926,morrimo01
468,Kyle Kuzma,WAS,$13000000,$13000000,,,,,$13000000,kuzmaky01
469,Will Barton,WAS,$14375000,,,,,,$14375000,bartowi01
470,Kristaps Porziņģis,WAS,$33833400,$36016200,,,,,$33833400,porzikr01
471,Bradley Beal,WAS,$43279250,$46741590,$50203930,$53666270,$57128610,,$193891040,bealbr01
